g14.Aaer	ABI2
g42.Aang	ABI1
g293.Aang	ABI2
g368.Aang	ABI1
g595.Aang	ABI3
g649.Aang	ABI2A
g137.Aasp	ABI1
g172.Abea	ABI1
g242.Abea	ABI1
g312.Abif	ABI2
g20.Abru	ABI2
g67.Acal	ABI2
g21.Acar	abi3
g229.Acar	ABI1
g430.Acar	ABI2
g16.Achr	ABI3
g357.Achr	ABI1
g512.Achr	ABI2
g1.Afla	ABI3
g259.Afla	ABI2
g378.Afla	ABI1
g1.Aluc	ABI2
g15.Amex	ABI1
g4.Amex	abi2
g25.Amil	ABI1
g25.Amis	ABI1
g189.Amis	ABI3
g462.Amis	ABI2
g1.Apis	ABI2
g37.Apla	ABI1
g203.Apla	ABI3
g448.Apla	ABI2
g191.Aque	ABI2
g13.Arub	ABI2
g122.Arut	ABI2
g61.Arut	ABI3
g233.Arut	ABI1
g460.Arut	ABI1
g497.Arut	ABI1
g507.Arut	ABI1
g659.Arut	ABI2
g752.Arut	ABI2
g227.Asuu	ABI1
g29.Atra	ABI2
g128.Atum	ABI2
g100.Atur	ABI1
g385.Atur	ABI1
g8.Bbra	ABI1
g217.Bbra	ABI3
g407.Bbra	ABI2
g497.Bbra	ABI1
g518.Bbra	ABI2A
g19.Bbuf	ABI1
g16.Bbuf	ABI3
g394.Bbuf	ABI2
g3.Bflo	ABI2
g5.Bmal	ABI1
g20.Bmic	ABI2
g114.Bros	ABI2
g3.Casp	ABI1
g169.Casp	ABI3
g410.Casp	ABI2
g229.Ccar	ABI2
g55.Ccha	ABI1A
g36.Ccha	ABI1
g383.Ccha	ABI2
g13.Ccoc	ABI1
g49.Cdid	ABI3
g297.Cdid	ABI1
g379.Cdid	ABI1
g444.Cdid	ABI1
g538.Cdid	ABI2
g294.Cela	ABI3
g309.Cela	ABI2
g480.Cela	ABI1
g40.Cele	ABI1
g12.Ceum	ABI1
g128.Cgib	ABI1
g587.Cgib	ABI2
g641.Cgib	ABI1
g782.Cgib	ABI2
g3.Cgib	ABI3
g244.Cgib	ABI3A
g356.Cgib	ABI2A
g374.Cgib	Uncharacterized
g382.Cgib	ABI1B
g43.Cgib	ABI2
g431.Cgib	ABI1A
g549.Cgib	ABI2A
g164.Cint	ABI1
g41.Cjac	ABI3
g269.Cjac	ABI1
g464.Cjac	ABI2
g22.Clep	ABI1
g24.Clup	ABI1
g217.Clup	ABI2
g292.Clup	ABI3
g9.Cmyd	ABI1
g177.Cmyd	ABI3
g456.Cmyd	ABI2
g374.Cori	ABI2
g107.Cpor	ABI1
g184.Cpor	ABI3
g485.Cpor	ABI2
g149.Csco	ABI2
g7.Csco	ABI2
g69.Csqu	ABI2
g75.Cvol	ABI2
g149.Cvol	ABI3
g414.Cvol	ABI1
g302.Dava	ABI1
g27.Dbic	ABI1
g233.Dbic	ABI2
g345.Dbic	ABI3
g6.Dcan	ABI1
g170.Dcan	ABI1
g14.Dmel	ABI1
g169.Dpea	ABI2
g76.Drer	ABI3A
g224.Drer	ABI2B
g30.Drer	ABI3B
g330.Drer	ABI2B
g377.Drer	ABI1B
g557.Drer	ABI2
g647.Drer	ABI2A
g7.Drer	ABI2A
g27.Eata	ABI1
g6.Eata	abi3
g3.Eata	ABI1
g115.Ecab	ABI1
g145.Ecab	ABI1
g146.Ecab	ABI1
g214.Ecab	ABI2
g283.Ecab	ABI3
g102.Efus	ABI2
g154.Efus	ABI3
g358.Efus	ABI1
g5.Egla	ABI3
g261.Egla	ABI1
g472.Egla	ABI2
g32.Emac	ABI1
g232.Emac	ABI2
g337.Emac	ABI3
g18.Emul	ABI1
g187.Emul	ABI3
g425.Emul	ABI2
g26.Etor	ABI2
g14.Fint	ABI2
g41.Fwhi	ABI1
g16.Game	ABI2
g151.Game	ABI1
g13.Game	ABI2
g283.Game	ABI3
g10.Gevg	ABI3
g312.Gevg	ABI1
g447.Gevg	ABI2
g144.Ggal	ABI3
g407.Ggal	ABI1
g510.Ggal	ABI2
g12.Gser	ABI2
g165.Gser	ABI1
g32.Hcol	ABI2
g403.Hcol	ABI1A
g520.Hcol	ABI1
g249.Hman	ABI2
g123.Hoce	ABI2B
g212.Hoce	ABI1A
g469.Hoce	ABI1
g40.Hoct	ABI1
g64.Hper	ABI2
g230.Hper	ABI3
g326.Hper	ABI1A
g116.Hsap	ABI1
g309.Hsap	ABI3
g461.Hsap	ABI2
g17.Hsca	ABI2
g162.Hsym	ABI1
g19.Hvul	ABI1
g216.Iele	ABI2
g82.Lbru	ABI2
g128.Lcat	ABI1
g202.Lcat	ABI3
g539.Lcat	ABI2
g46.Lcha	ABI2
g341.Lcha	ABI1A
g454.Lcha	ABI3
g233.Lcla	ABI2
g288.Lhyp	ABI1
g50.Ljap	ABI1
g336.Ljap	ABI1
g44.Llun	ABI2
g93.Lnas	ABI1
g114.Lrei	ABI1
g237.Lrei	ABI1
g66.Maos	ABI2
g316.Mcep	ABI1A
g81.Mcep	ABI2B
g444.Mcep	ABI3B
g564.Mcep	Uncharacterized
g589.Mcep	ABI2
g605.Mcep	ABI1
g110.Mfas	ABI1
g239.Mfas	ABI3
g455.Mfas	ABI2
g92.Mglu	ABI1
g430.Mglu	abi3
g17.Mhyp	ABI2
g147.Mhyp	ABI1A
g443.Mhyp	ABI1
g21.Mmus	Abi3
g348.Mmus	Abi2
g414.Mmus	Abi1
g143.Muni	ABI1
g233.Muni	ABI2
g210.Nbra	ABI1
g5.Ncou	ABI3
g304.Ncou	ABI2
g459.Ncou	ABI1
g11.Npic	ABI2
g56.Nvec	ABI1
g89.Oana	ABI1
g187.Oana	ABI2
g306.Oana	ABI3
g247.Odio	ABI2
g15.Olob	ABI1
g226.Olob	ABI1
g15.Oorc	ABI1
g250.Oorc	ABI2
g272.Oorc	ABI3
g266.Osar	ABI2
g19.Osin	ABI2
g217.Ospi	ABI2
g23.Otip	ABI1
g219.Pfla	ABI2
g38.Pfuc	ABI2
g50.Pfus	ABI2
g230.Pfus	ABI1
g498.Pfus	ABI3
g503.Pfus	ABI2
g58.Pgen	ABI2
g2.Pgen	ABI2
g156.Pgeo	ABI2
g14.Pger	ABI1
g80.Plin	ABI2
g46.Pmar	ABI1
g445.Pmar	ABI1
g120.Pmon	ABI2
g30.Pmur	ABI2
g199.Pmur	ABI1
g329.Pmur	ABI3
g66.Ppec	ABI1A
g296.Ppec	ABI1
g468.Ppec	ABI2
g66.Ppyg	ABI2
g228.Ppyg	ABI1
g347.Ppyg	ABI3
g58.Ptig	ABI2
g241.Ptig	ABI1
g316.Ptig	ABI3
g512.Ptig	ABI1
g8.Pver	ABI2
g18.Pvul	ABI2
g20.Rflo	ABI1
g93.Rpen	ABI1
g248.Rpen	ABI3
g519.Rpen	ABI2
g120.Rtyp	ABI2
g9.Rtyp	ABI1
g243.Rtyp	ABI1A
g43.Rven	ABI1
g175.Saca	ABI2
g15.Saca	ABI1
g257.Saca	ABI1A
g17.Sacu	ABI2
g83.Sara	ABI2
g198.Sara	ABI3
g398.Sara	ABI1
g67.Sben	ABI2
g15.Sbom	ABI2
g243.Sbom	Uncharacterized
g410.Sbom	ABI1
g50.Scar	ABI1
g266.Scum	ABI2
g55.Sdal	ABI2
g3.Sdal	ABI2
g40.Shar	ABI1
g135.Shar	ABI2
g259.Shar	ABI3
g55.Skow	ABI1
g328.Skow	ABI2
g122.Slac	ABI2
g260.Slim	ABI2
g8.Sman	ABI1
g5.Snit	ABI2
g89.Snud	ABI2
g393.Snud	ABI2
g129.Spli	ABI2
g55.Spur	ABI2
g450.Spur	ABI2
g842.Spur	ABI2
g51.Srat	ABI1
g40.Sscr	ABI1
g300.Sscr	ABI3
g306.Sscr	ABI3
g551.Sscr	ABI2
g109.Stho	ABI1
g21.Tacu	ABI3
g291.Tacu	ABI2
g484.Tacu	ABI1
g81.Tchi	ABI2
g148.Tchi	ABI3
g415.Tchi	ABI1
g507.Tchi	ABI1
g191.Tcli	ABI1
g4.Tcli	ABI2
g149.Tgut	ABI1
g322.Tgut	ABI2
g460.Tgut	Uncharacterized
g129.Tind	ABI3
g320.Tind	ABI2
g424.Tind	ABI1
g145.Tlap	ABI2
g194.Tmul	Uncharacterized
g59.Trho	ABI2
g278.Trho	ABI2
g42.Tsci	ABI1
g187.Tsci	Uncharacterized
g465.Tsci	ABI2
g89.Tswi	ABI1
g32.Ttru	ABI2
g252.Uuni	ABI2
g2.Xtro	ABI1
g374.Xtro	ABI3
g409.Xtro	ABI2
g34.Xxan	ABI2
