Species_ID	Phylum	Sub
Aaer	Porifera	Demospongiae
Abea	Porifera	Hexactinellida
Aque	Porifera	Demospongiae
Cori	Porifera	Demospongiae
Dava	Porifera	Demospongiae
Dcan	Porifera	Homoscleromorpha
Lhyp	Porifera	Demospongiae
Olob	Porifera	Homoscleromorpha
Slac	Porifera	Demospongiae
Tswi	Porifera	Demospongiae
Bmic	Ctenophora	Tentaculata
Hcal	Ctenophora	Tentaculata
Tadh	Placozoa	Placozoa
Amil	Cnidaria	Anthozoa
Ccoc	Cnidaria	Hydrozoa
Hoct	Cnidaria	Staurozoa
Hsym	Cnidaria	Hydrozoa
Hvul	Cnidaria	Hydrozoa
Nvec	Cnidaria	Anthozoa
Rflo	Cnidaria	Anthozoa
Asuu	Nematoda	Secernentea
Bmal	Nematoda	Secernentea
Cele	Nematoda	Chromadorea
Nbra	Nematoda	Chromadorea
Otip	Nematoda	Chromadorea
Scar	Nematoda	Chromadorea
Srat	Nematoda	Chromadorea
Tspi	Nematoda	Enoplea
Amel	Arthropoda	Hymenoptera
Apis	Arthropoda	Hemiptera
Atra	Arthropoda	Lepidoptera
Atum	Arthropoda	Coleoptera
Bros	Arthropoda	Phasmatodea
Ccar	Arthropoda	Neuroptera
Dmel	Arthropoda	Diptera
Etor	Arthropoda	Ephemeroptera
Fint	Arthropoda	Thysanoptera
Iele	Arthropoda	Odonata
Lbru	Arthropoda	Psocoptera
Llun	Arthropoda	Trichoptera
Lmin	Arthropoda	Dermaptera
Nign	Arthropoda	Megaloptera
Npic	Arthropoda	Plecoptera
Pger	Arthropoda	Mecoptera
Snit	Arthropoda	Orthoptera
Xxan	Arthropoda	Raphidioptera
Dpul	Crustacea	Branchiopoda
Maos	Crustacea	Malacostraca
Pmon	Crustacea	Malacostraca
Abru	Chelicerata	Araneae
Csco	Chelicerata	Pseudoscorpiones
Ospi	Chelicerata	Opiliones
Ttru	Chelicerata	Acariformes
Sacu	Myriapoda	Myriapoda
Sman	Platyhelminthes	Trematoda
Tmul	Platyhelminthes	Cestoda
Hman	Annelida	Hirudinea
Lcla	Annelida	Polychaeta
Pgeo	Annelida	Hirudinea
Sben	Annelida	Spionida
Slim	Annelida	Polychaeta
Snud	Annelida	Sipuncula
Tlap	Annelida	Polychaeta
Uuni	Annelida	Polychaeta
Acal	Mollusca	Gastropoda
Csqu	Mollusca	Gastropoda
Dpea	Mollusca	Cephalopoda
Fwhi	Mollusca	Bivalvia
Ljap	Mollusca	Polyplacophora
Lnas	Mollusca	Bivalvia
Osin	Mollusca	Cephalopoda
Pfuc	Mollusca	Bivalvia
Pgen	Mollusca	Bivalvia
Plin	Mollusca	Gastropoda
Pver	Mollusca	Scaphopoda
Pvul	Mollusca	Gastropoda
Scum	Mollusca	Bivalvia
Sdal	Mollusca	Scaphopoda
Trho	Mollusca	Cephalopoda
Skow	Chordata	Hemichordata
Pfla	Chordata	Hemichordata
Abif	Echinodermata	Crinoidea
Arub	Echinodermata	Asteroidea
Hsca	Echinodermata	Holothuroidea
Osar	Echinodermata	Ophiuroidea
Spur	Echinodermata	Echinoidea
Aluc	Chordata	Cephalochordata
Bflo	Chordata	Cephalochordata
Aasp	Chordata	Urochordata
Cint	Chordata	Urochordata
Clep	Chordata	Urochordata
Atur	Chordata	Urochordata
Ceum	Chordata	Urochordata
Spli	Chordata	Urochordata
Tcli	Chordata	Urochordata
Lrei	Vertebrate	Cyclostomata
Pmar	Vertebrata	Cyclostomata
Eata	Vertebrata	Cyclostomata
Mglu	Vertebrata	Cyclostomata
Ccha	Vertebrata	Chondrichthyes
Hcol	Vertebrata	Chondrichthyes
Hoce	Vertebrata	Chondrichthyes
Hper	Vertebrata	Chondrichthyes
Mhyp	Vertebrata	Chondrichthyes
Ppec	Vertebrata	Chondrichthyes
Saca	Vertebrata	Chondrichthyes
Aang	Vertebrata	Osteichtyes
Arut	Vertebrata	Osteichtyes
Bbra	Vertebrata	Osteichtyes
Cgib	Vertebrata	Osteichtyes
Drer	Vertebrata	Osteichtyes
Lcha	Vertebrata	Osteichtyes
Mcep	Vertebrata	Osteichtyes
Nfor	Vertebrata	Osteichtyes
Amex	Vertebrata	Amphibia
Bbuf	Vertebrata	Amphibia
Gser	Vertebrata	Amphibia
Muni	Vertebrata	Amphibia
Pfus	Vertebrata	Amphibia
Pwal	Vertebrata	Amphibia
Sbom	Vertebrata	Amphibia
Xtro	Vertebrata	Amphibia
Acar	Vertebrata	Reptilia
Amis	Vertebrata	Reptilia
Casp	Vertebrata	Reptilia
Cmyd	Vertebrata	Reptilia
Cpor	Vertebrata	Reptilia
Emac	Vertebrata	Reptilia
Emul	Vertebrata	Reptilia
Gevg	Vertebrata	Reptilia
Pmur	Vertebrata	Reptilia
Tsci	Vertebrata	Reptilia
Achr	Vertebrata	Aves
Game	Vertebrata	Aves
Ggal	Vertebrata	Aves
Apla	Vertebrata	Aves
Tgut	Vertebrata	Aves
Rpen	Vertebrata	Aves
Tacu	Vertebrata	Mammalia
Oana	Vertebrata	Mammalia
Afla	Vertebrata	Mammalia
Shar	Vertebrata	Mammalia
Tind	Vertebrata	Mammalia
Hsap	Vertebrata	Mammalia
Mmus	Vertebrata	Mammalia
Sscr	Vertebrata	Mammalia
Tchi	Vertebrata	Mammalia
Ecab	Vertebrata	Mammalia
Clup	Vertebrata	Mammalia
Cjac	Vertebrata	Mammalia
Cdid	Vertebrata	Mammalia
Ptig	Vertebrata	Mammalia
Lcat	Vertebrata	Mammalia
Dbic	Vertebrata	Mammalia
Ncou	Vertebrata	Mammalia
Cvol	Vertebrata	Mammalia
Efus	Vertebrata	Mammalia
Sara	Vertebrata	Mammalia
Egla	Vertebrata	Mammalia
Ppyg	Vertebrata	Mammalia
Mfas	Vertebrata	Mammalia
Cela	Vertebrata	Mammalia
Oorc	Vertebrata	Mammalia
